,extraposition,anaphor_agreement,quantifiers,argument_structure,binding_principle_a,infinitival_argument_clause,topicalization,complementive,r_words,auxiliaries,wh_movement_restrictions,wh_movement,verb_second,parasitic_gaps,crossing_dependencies,adpositional_phrases,passive,determiners,adverbial_modification,relativization,nominalization,finite_argument_clause
animate_subject_trans,36.0,23.0,19.0,28.0,16.0,19.0,25.0,20.0,2.0,30.0,20.0,19.0,8.0,8.0,19.0,24.0,9.0,42.0,11.0,12.0,6.0,8.0
principle_A_case_1,22.0,28.0,23.0,34.0,10.0,44.0,18.0,24.0,7.0,30.0,7.0,8.0,19.0,6.0,17.0,20.0,12.0,31.0,14.0,25.0,14.0,32.0
transitive,35.0,24.0,29.0,79.0,18.0,73.0,29.0,16.0,9.0,36.0,13.0,16.0,16.0,8.0,43.0,39.0,11.0,42.0,23.0,30.0,12.0,34.0
existential_there_object_raising,15.0,19.0,7.0,38.0,9.0,50.0,28.0,12.0,9.0,7.0,14.0,15.0,16.0,3.0,31.0,25.0,10.0,27.0,16.0,51.0,9.0,37.0
determiner_noun_agreement_1,28.0,8.0,32.0,67.0,16.0,57.0,11.0,14.0,19.0,52.0,11.0,6.0,12.0,11.0,46.0,40.0,18.0,35.0,29.0,29.0,14.0,6.0
coordinate_structure_constraint_complex_left_branch,26.0,13.0,9.0,51.0,13.0,32.0,25.0,25.0,4.0,12.0,27.0,32.0,23.0,5.0,36.0,26.0,18.0,20.0,20.0,9.0,4.0,10.0
existential_there_quantifiers_2,7.0,9.0,11.0,8.0,4.0,6.0,7.0,13.0,5.0,9.0,5.0,5.0,6.0,16.0,3.0,7.0,4.0,9.0,3.0,7.0,16.0,5.0
npi_present_1,15.0,8.0,13.0,52.0,17.0,41.0,17.0,11.0,33.0,14.0,14.0,7.0,11.0,5.0,37.0,19.0,18.0,24.0,18.0,15.0,8.0,18.0
irregular_plural_subject_verb_agreement_1,19.0,34.0,39.0,62.0,35.0,71.0,23.0,10.0,10.0,42.0,9.0,14.0,34.0,9.0,52.0,23.0,12.0,35.0,50.0,54.0,2.0,6.0
principle_A_domain_1,2.0,2.0,3.0,12.0,0.0,11.0,2.0,3.0,1.0,10.0,0.0,0.0,0.0,19.0,1.0,8.0,2.0,13.0,0.0,3.0,12.0,7.0
intransitive,25.0,14.0,23.0,68.0,26.0,74.0,10.0,18.0,4.0,39.0,1.0,1.0,23.0,9.0,41.0,46.0,25.0,34.0,28.0,49.0,13.0,3.0
sentential_negation_npi_scope,15.0,15.0,7.0,9.0,6.0,8.0,14.0,13.0,8.0,8.0,6.0,7.0,8.0,23.0,11.0,14.0,6.0,24.0,10.0,8.0,10.0,6.0
sentential_subject_island,5.0,0.0,1.0,9.0,0.0,5.0,5.0,7.0,2.0,9.0,0.0,0.0,0.0,32.0,1.0,3.0,2.0,1.0,0.0,1.0,16.0,18.0
inchoative,23.0,15.0,25.0,57.0,17.0,82.0,11.0,18.0,3.0,35.0,3.0,3.0,26.0,19.0,44.0,33.0,23.0,36.0,33.0,50.0,9.0,16.0
irregular_past_participle_verbs,18.0,14.0,25.0,51.0,12.0,61.0,17.0,13.0,7.0,49.0,2.0,2.0,16.0,25.0,33.0,15.0,12.0,39.0,22.0,28.0,10.0,8.0
complex_NP_island,19.0,1.0,2.0,20.0,2.0,3.0,9.0,6.0,14.0,28.0,4.0,7.0,1.0,44.0,4.0,17.0,8.0,8.0,8.0,7.0,25.0,6.0
wh_vs_that_with_gap_long_distance,63.0,3.0,8.0,66.0,19.0,46.0,25.0,23.0,26.0,48.0,6.0,13.0,15.0,20.0,40.0,30.0,14.0,33.0,19.0,25.0,12.0,10.0
wh_vs_that_with_gap,50.0,5.0,16.0,64.0,25.0,60.0,15.0,13.0,19.0,41.0,3.0,7.0,15.0,23.0,40.0,32.0,13.0,34.0,22.0,25.0,16.0,18.0
causative,28.0,5.0,17.0,56.0,9.0,63.0,20.0,18.0,5.0,36.0,6.0,4.0,11.0,10.0,32.0,38.0,11.0,35.0,18.0,21.0,9.0,14.0
left_branch_island_echo_question,4.0,4.0,3.0,15.0,0.0,3.0,1.0,4.0,3.0,5.0,1.0,0.0,0.0,23.0,2.0,4.0,2.0,0.0,0.0,4.0,15.0,1.0
only_npi_licensor_present,15.0,15.0,21.0,22.0,8.0,40.0,24.0,14.0,10.0,14.0,7.0,12.0,23.0,12.0,42.0,25.0,10.0,35.0,21.0,35.0,5.0,9.0
